symbol,name
1010.SR,Riyad Bank
1020.SR,Bank Aljazira
1030.SR,Saudi Investment Bank
1050.SR,Banque Saudi Fransi
1060.SR,Saudi Awwal Bank
1080.SR,Arab National Bank
1120.SR,Al Rajhi Bank
1150.SR,Alinma Bank
1180.SR,Saudi National Bank
2010.SR,SABIC
2020.SR,SABIC Agri-Nutrients
2080.SR,National Gas & Industrialization
2222.SR,Saudi Aramco
2280.SR,Almarai
2290.SR,Yanbu National Petrochemical
2310.SR,Sahara International Petrochemical
2380.SR,Rabigh Refining and Petrochemical
2381.SR,Arabian Drilling
2382.SR,ADES Holding
4030.SR,Bahri
4200.SR,Aldrees
5110.SR,Saudi Electricity
6010.SR,NADEC
7010.SR,stc
7020.SR,Etihad Etisalat
7030.SR,Zain KSA
7202.SR,solutions by stc
1211.SR,Maaden
1301.SR,United Wire Factories
1321.SR,East Pipes
1322.SR,Amiantit
1830.SR,Leejam Sports
4003.SR,Extra
4004.SR,Dallah Healthcare
4005.SR,NCB Capital? Edit Name
4013.SR,Dr Sulaiman Al Habib
4164.SR,Nahdi Medical
4190.SR,Jarir
4300.SR,Dar Al Arkan
4321.SR,Arabian Centres
4322.SR,Retal
7203.SR,Elm
7204.SR,Perfect Presentation
1140.SR,Bank Albilad
1201.SR,Takween Advanced Industries
1202.SR,Middle East Paper
1210.SR,Basic Chemical Industries
1212.SR,Astra Industrial
1213.SR,Naseej International Trading
1214.SR,Al Hassan Ghazi Ibrahim Shaker
1302.SR,Bawan
1303.SR,Electrical Industries
1304.SR,Al Yamamah Steel Industries
